time,V_actual,alpha_actual,q_actual,beta_actual,p_actual,r_actual,V_cmd,alpha_cmd,q_cmd,beta_cmd,p_cmd,r_cmd,throttle_cmd,elevator_cmd,aileron_cmd,rudder_cmd,throttle_actual,elevator_actual,aileron_actual,rudder_actual
0.1880,400.3739,0.008409,0.010434,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0577,0.0000,-0.0000,0.6539,-0.0274,0.0000,-0.0000
0.1920,400.3811,0.008562,0.010215,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0572,0.0000,-0.0000,0.6539,-0.0274,0.0000,-0.0000
0.1960,400.3884,0.008714,0.009997,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0572,0.0000,-0.0000,0.6539,-0.0279,0.0000,-0.0000
0.2000,400.3956,0.008864,0.009787,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0572,0.0000,-0.0000,0.6539,-0.0279,0.0000,-0.0000
0.2040,400.4028,0.009013,0.009577,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0566,0.0000,-0.0000,0.6539,-0.0279,0.0000,-0.0000
0.2080,400.4100,0.009161,0.009368,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0566,0.0000,-0.0000,0.6539,-0.0285,0.0000,-0.0000
0.2120,400.4172,0.009308,0.009169,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0566,0.0000,-0.0000,0.6325,-0.0285,0.0000,-0.0000
0.2160,400.4240,0.009454,0.008969,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0559,0.0000,-0.0000,0.6325,-0.0285,0.0000,-0.0000
0.2200,400.4304,0.009598,0.008768,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0559,0.0000,-0.0000,0.6325,-0.0291,0.0000,-0.0000
0.2240,400.4366,0.009742,0.008576,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0559,0.0000,-0.0000,0.6325,-0.0291,0.0000,-0.0000
0.2280,400.4425,0.009884,0.008384,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0552,0.0000,-0.0000,0.6325,-0.0291,0.0000,-0.0000
0.2320,400.4482,0.010025,0.008191,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0552,0.0000,-0.0000,0.6325,-0.0298,0.0000,-0.0000
0.2360,400.4540,0.010165,0.008009,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0552,0.0000,-0.0000,0.6325,-0.0298,0.0000,-0.0000
0.2400,400.4598,0.010304,0.007827,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6325,0.0545,0.0000,-0.0000,0.6325,-0.0298,0.0000,-0.0000
